Rank,Node,MessageSize,AverageTimePerExchange
0,Berks-MBP.attlocal.net,2,0.000013
0,Berks-MBP.attlocal.net,4,0.000001
0,Berks-MBP.attlocal.net,8,0.000001
0,Berks-MBP.attlocal.net,16,0.000000
0,Berks-MBP.attlocal.net,32,0.000000
0,Berks-MBP.attlocal.net,64,0.000001
0,Berks-MBP.attlocal.net,128,0.000001
0,Berks-MBP.attlocal.net,256,0.000001
0,Berks-MBP.attlocal.net,512,0.000002
0,Berks-MBP.attlocal.net,1024,0.000002
0,Berks-MBP.attlocal.net,2048,0.000012
0,Berks-MBP.attlocal.net,4096,0.000004
1,Berks-MBP.attlocal.net,2,0.000011
1,Berks-MBP.attlocal.net,4,0.000001
1,Berks-MBP.attlocal.net,8,0.000001
1,Berks-MBP.attlocal.net,16,0.000000
1,Berks-MBP.attlocal.net,32,0.000001
1,Berks-MBP.attlocal.net,64,0.000001
1,Berks-MBP.attlocal.net,128,0.000001
1,Berks-MBP.attlocal.net,256,0.000001
1,Berks-MBP.attlocal.net,512,0.000002
1,Berks-MBP.attlocal.net,1024,0.000002
1,Berks-MBP.attlocal.net,2048,0.000012
1,Berks-MBP.attlocal.net,4096,0.000004
2,Berks-MBP.attlocal.net,2,0.000013
2,Berks-MBP.attlocal.net,4,0.000001
2,Berks-MBP.attlocal.net,8,0.000001
2,Berks-MBP.attlocal.net,16,0.000000
2,Berks-MBP.attlocal.net,32,0.000001
2,Berks-MBP.attlocal.net,64,0.000001
2,Berks-MBP.attlocal.net,128,0.000001
2,Berks-MBP.attlocal.net,256,0.000001
2,Berks-MBP.attlocal.net,512,0.000002
2,Berks-MBP.attlocal.net,1024,0.000002
2,Berks-MBP.attlocal.net,2048,0.000012
2,Berks-MBP.attlocal.net,4096,0.000004
3,Berks-MBP.attlocal.net,2,0.000014
3,Berks-MBP.attlocal.net,4,0.000000
3,Berks-MBP.attlocal.net,8,0.000001
3,Berks-MBP.attlocal.net,16,0.000000
3,Berks-MBP.attlocal.net,32,0.000001
3,Berks-MBP.attlocal.net,64,0.000000
3,Berks-MBP.attlocal.net,128,0.000001
3,Berks-MBP.attlocal.net,256,0.000001
3,Berks-MBP.attlocal.net,512,0.000002
3,Berks-MBP.attlocal.net,1024,0.000002
3,Berks-MBP.attlocal.net,2048,0.000012
3,Berks-MBP.attlocal.net,4096,0.000004
4,Berks-MBP.attlocal.net,2,0.000012
4,Berks-MBP.attlocal.net,4,0.000001
4,Berks-MBP.attlocal.net,8,0.000001
4,Berks-MBP.attlocal.net,16,0.000000
4,Berks-MBP.attlocal.net,32,0.000001
4,Berks-MBP.attlocal.net,64,0.000001
4,Berks-MBP.attlocal.net,128,0.000001
4,Berks-MBP.attlocal.net,256,0.000001
4,Berks-MBP.attlocal.net,512,0.000002
4,Berks-MBP.attlocal.net,1024,0.000002
4,Berks-MBP.attlocal.net,2048,0.000012
4,Berks-MBP.attlocal.net,4096,0.000004
5,Berks-MBP.attlocal.net,2,0.000012
5,Berks-MBP.attlocal.net,4,0.000001
5,Berks-MBP.attlocal.net,8,0.000001
5,Berks-MBP.attlocal.net,16,0.000000
5,Berks-MBP.attlocal.net,32,0.000001
5,Berks-MBP.attlocal.net,64,0.000001
5,Berks-MBP.attlocal.net,128,0.000001
5,Berks-MBP.attlocal.net,256,0.000001
5,Berks-MBP.attlocal.net,512,0.000002
5,Berks-MBP.attlocal.net,1024,0.000002
5,Berks-MBP.attlocal.net,2048,0.000012
5,Berks-MBP.attlocal.net,4096,0.000004
6,Berks-MBP.attlocal.net,2,0.000013
6,Berks-MBP.attlocal.net,4,0.000001
6,Berks-MBP.attlocal.net,8,0.000001
6,Berks-MBP.attlocal.net,16,0.000000
6,Berks-MBP.attlocal.net,32,0.000001
6,Berks-MBP.attlocal.net,64,0.000001
6,Berks-MBP.attlocal.net,128,0.000001
