Rank,Node,MessageSize,AverageTimePerExchange
0,nvf-004,2,0.000313
0,nvf-004,4,0.000004
0,nvf-004,8,0.000003
0,nvf-004,16,0.000004
0,nvf-004,32,0.000005
0,nvf-004,64,0.000004
0,nvf-004,128,0.000005
0,nvf-004,256,0.000006
0,nvf-004,512,0.000006
0,nvf-004,1024,0.000010
0,nvf-004,2048,0.000020
0,nvf-004,4096,0.000048
1,nvf-004,2,0.000313
1,nvf-004,4,0.000004
1,nvf-004,8,0.000003
1,nvf-004,16,0.000004
1,nvf-004,32,0.000005
1,nvf-004,64,0.000004
1,nvf-004,128,0.000005
1,nvf-004,256,0.000006
1,nvf-004,512,0.000006
1,nvf-004,1024,0.000010
1,nvf-004,2048,0.000020
1,nvf-004,4096,0.000046
2,nvf-004,2,0.000313
2,nvf-004,4,0.000004
2,nvf-004,8,0.000003
2,nvf-004,16,0.000004
2,nvf-004,32,0.000005
2,nvf-004,64,0.000004
2,nvf-004,128,0.000005
2,nvf-004,256,0.000005
2,nvf-004,512,0.000007
2,nvf-004,1024,0.000010
2,nvf-004,2048,0.000020
2,nvf-004,4096,0.000046
3,nvf-004,2,0.000313
3,nvf-004,4,0.000004
3,nvf-004,8,0.000003
3,nvf-004,16,0.000004
3,nvf-004,32,0.000005
3,nvf-004,64,0.000004
3,nvf-004,128,0.000005
3,nvf-004,256,0.000005
3,nvf-004,512,0.000006
3,nvf-004,1024,0.000010
3,nvf-004,2048,0.000020
3,nvf-004,4096,0.000046
4,nvf-004,2,0.000312
4,nvf-004,4,0.000004
4,nvf-004,8,0.000003
4,nvf-004,16,0.000004
4,nvf-004,32,0.000005
4,nvf-004,64,0.000004
4,nvf-004,128,0.000005
4,nvf-004,256,0.000005
4,nvf-004,512,0.000006
4,nvf-004,1024,0.000010
4,nvf-004,2048,0.000020
4,nvf-004,4096,0.000045
5,nvf-004,2,0.000312
5,nvf-004,4,0.000004
5,nvf-004,8,0.000003
5,nvf-004,16,0.000004
5,nvf-004,32,0.000005
5,nvf-004,64,0.000004
5,nvf-004,128,0.000005
5,nvf-004,256,0.000005
5,nvf-004,512,0.000006
5,nvf-004,1024,0.000010
5,nvf-004,2048,0.000020
5,nvf-004,4096,0.000045
6,nvf-004,2,0.000313
6,nvf-004,4,0.000004
6,nvf-004,8,0.000003
6,nvf-004,16,0.000004
6,nvf-004,32,0.000005
6,nvf-004,64,0.000004
6,nvf-004,128,0.000005
6,nvf-004,256,0.000005
6,nvf-004,512,0.000006
6,nvf-004,1024,0.000011
6,nvf-004,2048,0.000019
6,nvf-004,4096,0.000045
7,nvf-004,2,0.000312
7,nvf-004,4,0.000004
7,nvf-004,8,0.000003
7,nvf-004,16,0.000004
7,nvf-004,32,0.000005
7,nvf-004,64,0.000004
7,nvf-004,128,0.000005
7,nvf-004,256,0.000005
7,nvf-004,512,0.000006
7,nvf-004,1024,0.000010
7,nvf-004,2048,0.000020
7,nvf-004,4096,0.000045
8,nvf-004,2,0.000313
8,nvf-004,4,0.000004
8,nvf-004,8,0.000003
8,nvf-004,16,0.000005
8,nvf-004,32,0.000005
8,nvf-004,64,0.000004
8,nvf-004,128,0.000005
8,nvf-004,256,0.000005
8,nvf-004,512,0.000006
8,nvf-004,1024,0.000010
8,nvf-004,2048,0.000019
8,nvf-004,4096,0.000045
9,nvf-004,2,0.000312
9,nvf-004,4,0.000005
9,nvf-004,8,0.000003
9,nvf-004,16,0.000005
9,nvf-004,32,0.000005
9,nvf-004,64,0.000004
9,nvf-004,128,0.000005
9,nvf-004,256,0.000005
9,nvf-004,512,0.000006
9,nvf-004,1024,0.000010
9,nvf-004,2048,0.000019
9,nvf-004,4096,0.000045
10,nvf-004,2,0.000312
10,nvf-004,4,0.000005
10,nvf-004,8,0.000003
10,nvf-004,16,0.000004
10,nvf-004,32,0.000005
10,nvf-004,64,0.000004
10,nvf-004,128,0.000005
10,nvf-004,256,0.000005
10,nvf-004,512,0.000006
10,nvf-004,1024,0.000010
10,nvf-004,2048,0.000019
10,nvf-004,4096,0.000044
11,nvf-004,2,0.000312
11,nvf-004,4,0.000005
11,nvf-004,8,0.000003
11,nvf-004,16,0.000004
11,nvf-004,32,0.000005
11,nvf-004,64,0.000004
11,nvf-004,128,0.000005
11,nvf-004,256,0.000005
11,nvf-004,512,0.000006
11,nvf-004,1024,0.000010
11,nvf-004,2048,0.000019
11,nvf-004,4096,0.000045
12,nvf-004,2,0.000310
12,nvf-004,4,0.000005
12,nvf-004,8,0.000003
12,nvf-004,16,0.000004
12,nvf-004,32,0.000005
12,nvf-004,64,0.000004
12,nvf-004,128,0.000006
12,nvf-004,256,0.000005
12,nvf-004,512,0.000006
12,nvf-004,1024,0.000010
12,nvf-004,2048,0.000019
12,nvf-004,4096,0.000044
13,nvf-004,2,0.000312
13,nvf-004,4,0.000005
13,nvf-004,8,0.000003
13,nvf-004,16,0.000004
13,nvf-004,32,0.000005
13,nvf-004,64,0.000004
13,nvf-004,128,0.000006
13,nvf-004,256,0.000005
13,nvf-004,512,0.000006
13,nvf-004,1024,0.000010
13,nvf-004,2048,0.000019
13,nvf-004,4096,0.000044
14,nvf-004,2,0.000312
14,nvf-004,4,0.000005
14,nvf-004,8,0.000003
14,nvf-004,16,0.000004
14,nvf-004,32,0.000005
14,nvf-004,64,0.000004
14,nvf-004,128,0.000006
14,nvf-004,256,0.000005
14,nvf-004,512,0.000006
14,nvf-004,1024,0.000010
14,nvf-004,2048,0.000019
14,nvf-004,4096,0.000044
15,nvf-004,2,0.000312
15,nvf-004,4,0.000005
15,nvf-004,8,0.000003
15,nvf-004,16,0.000004
15,nvf-004,32,0.000005
15,nvf-004,64,0.000004
15,nvf-004,128,0.000006
15,nvf-004,256,0.000005
15,nvf-004,512,0.000006
15,nvf-004,1024,0.000010
15,nvf-004,2048,0.000019
15,nvf-004,4096,0.000043
16,nvf-004,2,0.000311
16,nvf-004,4,0.000005
16,nvf-004,8,0.000003
16,nvf-004,16,0.000004
16,nvf-004,32,0.000005
16,nvf-004,64,0.000004
16,nvf-004,128,0.000006
16,nvf-004,256,0.000005
16,nvf-004,512,0.000006
16,nvf-004,1024,0.000010
16,nvf-004,2048,0.000018
16,nvf-004,4096,0.000044
17,nvf-004,2,0.000311
17,nvf-004,4,0.000005
17,nvf-004,8,0.000003
17,nvf-004,16,0.000004
17,nvf-004,32,0.000005
17,nvf-004,64,0.000004
17,nvf-004,128,0.000006
17,nvf-004,256,0.000005
17,nvf-004,512,0.000006
17,nvf-004,1024,0.000010
17,nvf-004,2048,0.000019
17,nvf-004,4096,0.000043
18,nvf-004,2,0.000311
18,nvf-004,4,0.000005
18,nvf-004,8,0.000003
18,nvf-004,16,0.000004
18,nvf-004,32,0.000005
18,nvf-004,64,0.000004
18,nvf-004,128,0.000006
18,nvf-004,256,0.000005
18,nvf-004,512,0.000006
18,nvf-004,1024,0.000010
18,nvf-004,2048,0.000018
18,nvf-004,4096,0.000044
19,nvf-004,2,0.000311
19,nvf-004,4,0.000005
19,nvf-004,8,0.000003
19,nvf-004,16,0.000004
19,nvf-004,32,0.000005
19,nvf-004,64,0.000004
19,nvf-004,128,0.000006
19,nvf-004,256,0.000005
19,nvf-004,512,0.000006
19,nvf-004,1024,0.000009
19,nvf-004,2048,0.000019
19,nvf-004,4096,0.000043
20,nvf-004,2,0.000311
20,nvf-004,4,0.000004
20,nvf-004,8,0.000004
20,nvf-004,16,0.000004
20,nvf-004,32,0.000005
20,nvf-004,64,0.000004
20,nvf-004,128,0.000006
20,nvf-004,256,0.000005
20,nvf-004,512,0.000006
20,nvf-004,1024,0.000009
20,nvf-004,2048,0.000019
20,nvf-004,4096,0.000043
21,nvf-004,2,0.000311
21,nvf-004,4,0.000004
21,nvf-004,8,0.000004
21,nvf-004,16,0.000004
21,nvf-004,32,0.000005
21,nvf-004,64,0.000004
21,nvf-004,128,0.000005
21,nvf-004,256,0.000005
21,nvf-004,512,0.000006
21,nvf-004,1024,0.000009
21,nvf-004,2048,0.000018
21,nvf-004,4096,0.000041
22,nvf-004,2,0.000311
22,nvf-004,4,0.000004
22,nvf-004,8,0.000004
22,nvf-004,16,0.000004
22,nvf-004,32,0.000005
22,nvf-004,64,0.000005
22,nvf-004,128,0.000005
22,nvf-004,256,0.000005
22,nvf-004,512,0.000006
22,nvf-004,1024,0.000009
22,nvf-004,2048,0.000018
22,nvf-004,4096,0.000040
23,nvf-004,2,0.000310
23,nvf-004,4,0.000004
23,nvf-004,8,0.000004
23,nvf-004,16,0.000004
23,nvf-004,32,0.000004
23,nvf-004,64,0.000005
23,nvf-004,128,0.000005
23,nvf-004,256,0.000005
23,nvf-004,512,0.000006
23,nvf-004,1024,0.000009
23,nvf-004,2048,0.000018
23,nvf-004,4096,0.000040
24,nvf-004,2,0.000310
24,nvf-004,4,0.000004
24,nvf-004,8,0.000004
24,nvf-004,16,0.000004
24,nvf-004,32,0.000004
24,nvf-004,64,0.000005
24,nvf-004,128,0.000005
24,nvf-004,256,0.000005
24,nvf-004,512,0.000006
24,nvf-004,1024,0.000009
24,nvf-004,2048,0.000018
24,nvf-004,4096,0.000040
25,nvf-004,2,0.000311
25,nvf-004,4,0.000004
25,nvf-004,8,0.000004
25,nvf-004,16,0.000004
25,nvf-004,32,0.000004
25,nvf-004,64,0.000005
25,nvf-004,128,0.000005
25,nvf-004,256,0.000005
25,nvf-004,512,0.000006
25,nvf-004,1024,0.000009
25,nvf-004,2048,0.000018
25,nvf-004,4096,0.000040
26,nvf-004,2,0.000310
26,nvf-004,4,0.000004
26,nvf-004,8,0.000004
26,nvf-004,16,0.000004
26,nvf-004,32,0.000004
26,nvf-004,64,0.000005
26,nvf-004,128,0.000006
26,nvf-004,256,0.000005
26,nvf-004,512,0.000006
26,nvf-004,1024,0.000009
26,nvf-004,2048,0.000018
26,nvf-004,4096,0.000040
27,nvf-004,2,0.000310
27,nvf-004,4,0.000004
27,nvf-004,8,0.000004
27,nvf-004,16,0.000003
27,nvf-004,32,0.000005
27,nvf-004,64,0.000005
27,nvf-004,128,0.000006
27,nvf-004,256,0.000005
27,nvf-004,512,0.000006
27,nvf-004,1024,0.000009
27,nvf-004,2048,0.000018
27,nvf-004,4096,0.000039
28,nvf-004,2,0.000311
28,nvf-004,4,0.000004
28,nvf-004,8,0.000004
28,nvf-004,16,0.000003
28,nvf-004,32,0.000005
28,nvf-004,64,0.000005
28,nvf-004,128,0.000006
28,nvf-004,256,0.000005
28,nvf-004,512,0.000006
28,nvf-004,1024,0.000009
28,nvf-004,2048,0.000018
28,nvf-004,4096,0.000039
29,nvf-004,2,0.000310
29,nvf-004,4,0.000004
29,nvf-004,8,0.000004
29,nvf-004,16,0.000003
29,nvf-004,32,0.000005
29,nvf-004,64,0.000005
29,nvf-004,128,0.000006
29,nvf-004,256,0.000004
