Rank,Node,MessageSize,AverageTimePerExchange
0,nvf-004,2,0.000207
0,nvf-004,4,0.000001
0,nvf-004,8,0.000001
0,nvf-004,16,0.000002
0,nvf-004,32,0.000001
0,nvf-004,64,0.000001
0,nvf-004,128,0.000002
0,nvf-004,256,0.000003
0,nvf-004,512,0.000010
0,nvf-004,1024,0.000007
0,nvf-004,2048,0.000025
0,nvf-004,4096,0.000054
1,nvf-004,2,0.000102
1,nvf-004,4,0.000105
1,nvf-004,8,0.000001
1,nvf-004,16,0.000001
1,nvf-004,32,0.000002
1,nvf-004,64,0.000001
1,nvf-004,128,0.000001
1,nvf-004,256,0.000002
1,nvf-004,512,0.000013
1,nvf-004,1024,0.000001
1,nvf-004,2048,0.000007
1,nvf-004,4096,0.000027
2,nvf-004,2,0.000002
2,nvf-004,4,0.000100
2,nvf-004,8,0.000105
2,nvf-004,16,0.000001
2,nvf-004,32,0.000001
2,nvf-004,64,0.000002
2,nvf-004,128,0.000001
2,nvf-004,256,0.000001
2,nvf-004,512,0.000012
2,nvf-004,1024,0.000003
2,nvf-004,2048,0.000001
2,nvf-004,4096,0.000008
3,nvf-004,2,0.000003
3,nvf-004,4,0.000000
3,nvf-004,8,0.000100
3,nvf-004,16,0.000105
3,nvf-004,32,0.000001
3,nvf-004,64,0.000001
3,nvf-004,128,0.000002
3,nvf-004,256,0.000001
3,nvf-004,512,0.000012
3,nvf-004,1024,0.000001
3,nvf-004,2048,0.000003
3,nvf-004,4096,0.000003
4,nvf-004,2,0.000002
4,nvf-004,4,0.000000
4,nvf-004,8,0.000022
4,nvf-004,16,0.000078
4,nvf-004,32,0.000105
4,nvf-004,64,0.000001
4,nvf-004,128,0.000001
4,nvf-004,256,0.000002
4,nvf-004,512,0.000010
4,nvf-004,1024,0.000003
4,nvf-004,2048,0.000001
4,nvf-004,4096,0.000004
5,nvf-004,2,0.000002
5,nvf-004,4,0.000012
5,nvf-004,8,0.000010
5,nvf-004,16,0.000005
5,nvf-004,32,0.000074
5,nvf-004,64,0.000105
5,nvf-004,128,0.000001
5,nvf-004,256,0.000001
5,nvf-004,512,0.000005
5,nvf-004,1024,0.000007
5,nvf-004,2048,0.000003
5,nvf-004,4096,0.000003
6,nvf-004,2,0.000003
6,nvf-004,4,0.000011
6,nvf-004,8,0.000000
6,nvf-004,16,0.000022
6,nvf-004,32,0.000000
6,nvf-004,64,0.000066
6,nvf-004,128,0.000105
6,nvf-004,256,0.000002
6,nvf-004,512,0.000006
6,nvf-004,1024,0.000001
6,nvf-004,2048,0.000007
6,nvf-004,4096,0.000005
7,nvf-004,2,0.000003
7,nvf-004,4,0.000001
7,nvf-004,8,0.000023
7,nvf-004,16,0.000010
7,nvf-004,32,0.000000
7,nvf-004,64,0.000000
7,nvf-004,128,0.000066
7,nvf-004,256,0.000105
7,nvf-004,512,0.000002
7,nvf-004,1024,0.000005
7,nvf-004,2048,0.000001
7,nvf-004,4096,0.000009
8,nvf-004,2,0.000003
8,nvf-004,4,0.000013
8,nvf-004,8,0.000012
8,nvf-004,16,0.000003
8,nvf-004,32,0.000006
8,nvf-004,64,0.000001
8,nvf-004,128,0.000007
8,nvf-004,256,0.000059
8,nvf-004,512,0.000106
8,nvf-004,1024,0.000001
8,nvf-004,2048,0.000005
8,nvf-004,4096,0.000003
9,nvf-004,2,0.000003
9,nvf-004,4,0.000011
9,nvf-004,8,0.000000
9,nvf-004,16,0.000022
9,nvf-004,32,0.000000
9,nvf-004,64,0.000007
9,nvf-004,128,0.000002
9,nvf-004,256,0.000001
9,nvf-004,512,0.000057
9,nvf-004,1024,0.000105
9,nvf-004,2048,0.000001
9,nvf-004,4096,0.000007
10,nvf-004,2,0.000003
10,nvf-004,4,0.000013
10,nvf-004,8,0.000000
10,nvf-004,16,0.000021
10,nvf-004,32,0.000000
10,nvf-004,64,0.000009
10,nvf-004,128,0.000001
10,nvf-004,256,0.000001
10,nvf-004,512,0.000002
10,nvf-004,1024,0.000055
10,nvf-004,2048,0.000105
10,nvf-004,4096,0.000003
11,nvf-004,2,0.000003
11,nvf-004,4,0.000012
11,nvf-004,8,0.000000
11,nvf-004,16,0.000022
11,nvf-004,32,0.000000
11,nvf-004,64,0.000008
11,nvf-004,128,0.000001
11,nvf-004,256,0.000001
11,nvf-004,512,0.000002
11,nvf-004,1024,0.000001
11,nvf-004,2048,0.000055
11,nvf-004,4096,0.000107
12,nvf-004,2,0.000003
12,nvf-004,4,0.000014
12,nvf-004,8,0.000000
12,nvf-004,16,0.000021
12,nvf-004,32,0.000000
12,nvf-004,64,0.000000
12,nvf-004,128,0.000008
12,nvf-004,256,0.000001
12,nvf-004,512,0.000002
12,nvf-004,1024,0.000001
12,nvf-004,2048,0.000001
12,nvf-004,4096,0.000056
13,nvf-004,2,0.000003
13,nvf-004,4,0.000013
13,nvf-004,8,0.000000
13,nvf-004,16,0.000017
13,nvf-004,32,0.000004
13,nvf-004,64,0.000002
13,nvf-004,128,0.000008
13,nvf-004,256,0.000001
13,nvf-004,512,0.000002
13,nvf-004,1024,0.000001
13,nvf-004,2048,0.000001
13,nvf-004,4096,0.000004
14,nvf-004,2,0.000003
14,nvf-004,4,0.000000
14,nvf-004,8,0.000013
14,nvf-004,16,0.000021
14,nvf-004,32,0.000000
14,nvf-004,64,0.000001
14,nvf-004,128,0.000007
14,nvf-004,256,0.000001
14,nvf-004,512,0.000002
14,nvf-004,1024,0.000001
14,nvf-004,2048,0.000001
14,nvf-004,4096,0.000005
15,nvf-004,2,0.000002
15,nvf-004,4,0.000001
15,nvf-004,8,0.000023
15,nvf-004,16,0.000011
15,nvf-004,32,0.000000
15,nvf-004,64,0.000000
15,nvf-004,128,0.000006
15,nvf-004,256,0.000003
15,nvf-004,512,0.000003
15,nvf-004,1024,0.000001
15,nvf-004,2048,0.000001
15,nvf-004,4096,0.000005
16,nvf-004,2,0.000003
16,nvf-004,4,0.000013
16,nvf-004,8,0.000011
16,nvf-004,16,0.000004
16,nvf-004,32,0.000008
16,nvf-004,64,0.000000
16,nvf-004,128,0.000008
16,nvf-004,256,0.000000
