NodeName,MessageSize,TotalTime,AverageTimePerExchange
Berks-MBP.attlocal.net,2,0.001665,0.000017
Berks-MBP.attlocal.net,4,0.000058,0.000001
Berks-MBP.attlocal.net,8,0.000046,0.000000
Berks-MBP.attlocal.net,16,0.000051,0.000001
Berks-MBP.attlocal.net,32,0.000051,0.000001
Berks-MBP.attlocal.net,64,0.000054,0.000001
Berks-MBP.attlocal.net,128,0.000062,0.000001
Berks-MBP.attlocal.net,256,0.000076,0.000001
Berks-MBP.attlocal.net,512,0.000166,0.000002
Berks-MBP.attlocal.net,1024,0.000189,0.000002
Berks-MBP.attlocal.net,2048,0.000232,0.000002
Berks-MBP.attlocal.net,4096,0.000415,0.000004
